source_id,source_title,source_publisher,source_type,source_origin,url,publication_date,access_date,pricing_terms_used,information_tracked,summary,key_excerpts
a-modern-retailing-experience-american-airlines-signs-new-agreements-with-all-th,"""A Modern Retailing Experience: American Airlines Signs New Agreements With All Three Major Global Distribution Systems""",American Airlines Newsroom,company press release,company,https://news.aa.com/news/news-details/2022/A-Modern-Retailing-Experience-American-Airlines-Signs-New-Agreements-With-All-Three-Major-Global-Distribution-Systems-MKG-OTH-10/,2022-10-24,2026-05-07,"NDC, modern retailing, elevated offers, ancillary products, best content, products and fares","""customer channel, travel retailer, corporate customer, direct channel, NDC connection, product and service preferences""","American announces long-term agreements with Amadeus, Sabre, and Travelport to expand NDC-enabled distribution. The release frames NDC as modern retailing that gives travel retailers and customers access to American content, elevated offers, ancillary products, and fares across more channels. It is not about individualized price discrimination, but it documents American's distribution and offer-management strategy.","""American's New Distribution Capability (NDC) technology, provide customers more opportunities to experience modern retailing with access to American's content, including elevated offers and ancillary products in more channels."" | ""These new agreements provide American with content flexibility, and in 2023, the airline will be able to offer its best content, products and fares through NDC connections and direct channels."" | ""American's NDC-powered retail capabilities offer greater selections to travel retailers and corporate customers and broader access to the airline's products and services."""
american-airlines-aal-q2-2025-earnings-transcript-the-motley-fool,"""American Airlines (AAL) Q2 2025 Earnings Transcript""",The Motley Fool / American Airlines,earnings call transcript,company,https://www.fool.com/earnings/call-transcripts/2025/07/24/american-airlines-aal-q2-2025-earnings-transcript/,2025-07-24,2026-05-07,"AI, pricing, bait and switch, tricking, offers, revenue, premium revenues, indirect channel share","""none stated for AI pricing; amenities, customer recovery needs, operational disruption data, bookings, demand, indirect channel revenue, premium customer behavior""","The Motley Fool transcript includes American CEO Robert Isom's direct answer to an analyst question about whether American is considering or experimenting with AI pricing. Isom says American will use AI for operations, efficiency, customer experience, amenities, and recovery from disruptions, but says AI pricing that would create distrust, bait and switch, or tricking customers is inappropriate and not something American will do. The transcript also discusses American's indirect channel recovery, premium strategy, revenue trends, and technology investments.","""For American, we will use AI to improve operate the airline."" | ""For our customers, it's going to improve their customer experience."" | ""This is not about bait and switch. This is not about tricking."" | ""And certainly from American, it's not something we will do."""
american-airlines-ceo-does-not-hold-back-on-deltas-controversial-move,"""American Airlines CEO Does Not Hold Back on Delta's Controversial Move""",Yahoo Finance / Men's Journal,news article,third party with company statement,https://finance.yahoo.com/news/american-airlines-ceo-does-not-062518701.html,2025-07-25,2026-05-06,"AI, dynamic pricing, pricing strategy, ticket prices, pricing discrimination, individualized offers, personal information","""none stated for American; article discusses Delta's use of real-time data processing, market forces, personal information, individualized offers""","Yahoo Finance republishes a Men's Journal article about Robert Isom's criticism of Delta's AI pricing plans. It says Delta aims to expand AI-set domestic ticket prices and quotes Isom saying that using AI this way is inappropriate, not about bait and switch, and not something American will do. The article also includes Delta's denial that its fare products target customers with individualized offers based on personal information.","""Earlier this week, Delta Air Lines President Glen William Hauenstein told reporters that the company was moving forward with expanding the use of AI in its pricing."" | ""I don't think it's appropriate."" | ""Consumers need to know that they can trust American, ok? This is not about bait and switch. This is not about tricking."" | ""And certainly, from American, it's not something we will do."""
american-airlines-ceo-says-using-ai-to-set-fares-is-a-bait-and-switch,"""American Airlines CEO says using AI to set fares is a 'bait and switch' move""",The Dallas Morning News / Bloomberg,news article,third party with company statement,https://www.dallasnews.com/business/airlines/2025/07/25/american-airlines-ceo-says-using-ai-to-set-fares-is-a-bait-and-switch-move/,2025-07-25,2026-05-07,"AI, air fares, pricing, dynamic pricing, individualized offers, personal information, bait and switch","""none stated for American; article discusses Delta's use of demand, timing, market forces, personal information, individualized offers""","The Dallas Morning News republishes Bloomberg coverage of Robert Isom's comments on AI fare setting after American's earnings call. The article says Isom criticized AI use in pricing as inappropriate and potentially deceptive, while saying American uses AI for operations, customer recovery, and customer service rather than pricing decisions. It also summarizes Delta's position that its AI tools streamline dynamic pricing and do not target customers using personal data.","""American Airlines' top executive blasted the use of artificial intelligence in setting air fares, calling the practice inappropriate because it could trick travelers."" | ""Consumers need to know that they can trust American."" | ""This is not about bait and switch. This is not about tricking."" | ""Employing it in pricing decisions 'is not something we will do,' he said."""
american-airlines-retailing-american-airlines-global-sales,"""American Airlines Retailing""",American Airlines Global Sales,company web page,company,https://www.exploreamerican.com/globalsales/ndc-overview/,2026-05-07,2026-05-07,"modern retailing, tailored experiences, tailored offers, relevant shopping results, fares, public and private fares, upsell offers, automated upfront commissions","""AAdvantage membership benefits, corporate fares, customer channel, travel agency/corporate connection, fare rules, ancillary product eligibility""","American's Global Sales retailing page describes its NDC program and broader move toward modern, tailored airline retailing. It says NDC gives customers enhanced content and more relevant tailored offers, including shopping results tailored to AAdvantage benefits and the ability to shop public/private fares and price upsell offers. The page concerns distribution, merchandising, and offer presentation rather than allegations of AI-based individualized pricing.","""Inspiring the future of airline retailing through modern and tailored experiences."" | ""These enhancements simplify the customer experience by enabling us to distribute products in new ways and provide more relevant, tailored offers to our customers."" | ""Relevant shopping results tailored to AAdvantage membership benefits."" | ""Ability to price upsell offers."""
american-charges-solo-flyers-more-on-half-of-domestic-one-ways,"""American Charges Solo Flyers More on Half of Domestic One-Ways""",Thrifty Traveler,news article,third party,https://thriftytraveler.com/news/airlines/american-solo-traveler-fares-research/,2025-06-06,2026-05-07,"pricing tactic, pricing scheme, pricing strategy, higher fares, price differences, fare rules, lower-priced fares, pricier fare","""number of passengers, solo traveler status, domestic one-way route, hub, travel date, day of week, fare rules, at least two adults on the reservation, presumed business traveler status""","Thrifty Traveler reports that American charged solo travelers higher fares on 104 of 200 sampled domestic one-way routes from major hubs. The article argues American continued using the tactic after Delta and United pulled back, says lower-priced fare rules required at least two adults on the reservation, and frames the practice as opaque segmentation likely aimed at business travelers. It states that American repeatedly ignored requests for comment.","""American Airlines. And it's also the most egregious user of that pricing tactic."" | ""To be precise, the carrier was charging single passengers higher fares on 104 of the 200 random domestic routes we searched."" | ""American Airlines has repeatedly ignored requests for comment on this pricing scheme."" | ""They've done that by writing rules into the lower-priced fares explicitly requiring at least two adults on the reservation."""
americans-ceo-says-the-airline-wont-use-ai-to-bait-and-switch-ticket-shoppers,"""American's CEO Says The Airline Won't Use AI to 'Bait and Switch' Ticket Shoppers""",Investopedia,news article,third party with company statement,https://www.investopedia.com/american-s-ceo-says-the-airline-won-t-use-ai-to-bait-and-switch-ticket-shoppers-11778388,2025-07-24,2026-05-07,"AI, set prices, ticket pricing, dynamic pricing model, individualized offers, personal information, bait and switch, tricking","""none stated for American; article discusses Delta's market forces, personal information, individualized offers, highest prices without losing sales""","Investopedia reports Robert Isom's post-earnings-call statement that American will not use AI in ways that trick customers searching for tickets. The article contrasts American's position with Delta's announced expansion of AI ticketing and quotes Delta denying individualized offers based on personal information. It also notes American's separate use of AI for efficiency, customer experience, and showcasing amenities.","""American Airlines won't use AI to set prices in ways that are 'just not good' or would lead to 'distrust,' CEO Robert Isom said."" | ""This is not about bait and switch. This is not about tricking."" | ""Others that talk about using AI in that way--I don't think it's appropriate."" | ""American Airlines wants you to know they aren't using AI in ways they say amount to 'tricking' customers who are searching for tickets."""
do-airlines-charge-solo-travelers-more-some-deal-experts-says-yes-the-washington-post,"""Do airlines charge solo travelers more? Some deal experts says yes.""",The Washington Post,news article,third party,https://www.washingtonpost.com/travel/2025/05/31/solo-airfare-increase-thrifty-traveler/,2025-05-31,2026-05-07,"dynamic pricing algorithms, airfare pricing, fare buckets, pricing structure, pricing strategy, surge pricing, higher ticket prices","""real-time booking data, historic booking data, demand, distance, itinerary, cabin class, reservation booking designator, fare bucket, number of travelers, solo traveler status, presumed business traveler status""","The Washington Post covers Thrifty Traveler's finding that Delta, United, and American listed higher ticket prices on some routes for solo passengers than for pairs or groups. It explains the issue through dynamic pricing algorithms and fare buckets and notes expert disagreement over whether the pattern is new, hidden, or similar to bulk discounts. American did not respond to requests for comment.","""Potter's team at Thrifty Traveler... concluded that Delta, United Airlines and American Airlines were listing higher ticket prices on some routes for solo passengers than for a pair or group fares."" | ""United and American did not respond to requests for comment."" | ""Airlines use dynamic pricing algorithms that adjust airfare according to real-time and historic booking data."" | ""Kelly said American Airlines rolled out these types of fares months ago, and Delta and United have recently started to copy the approach."""
new-data-confirms-airlines-charging-more-for-solo-passengers-but-its-not-as-bad-,"""New data confirms airlines charging more for solo passengers - but it's not as bad as you've heard""",The Points Guy,news article,third party,https://thepointsguy.com/airline/airline-pricing-points-path-data/,2025-06-27,2026-05-06,"pricing decisions, dynamically pricing seats, pricing differences, solo passengers, price discrepancy, lower price, higher price","""number of travelers, route combination, airline, date selected at random, cash fares, points and miles award prices, domestic route, demand, last-minute booking""","The Points Guy and Points Path analyze more than 3,800 flight searches to test claims that airlines charge solo passengers more. They find 271 route combinations where solo passengers paid more and 235 where solo travelers paid less, with most fares identical. One American example shows Austin to Charlotte pricing at $473 for one ticket versus $338 per person for two travelers, but the article presents the practice as limited and variable rather than universal.","""Airlines make all kinds of interesting pricing decisions in order to maximize profits."" | ""Charging more for last-minute bookings and dynamically pricing seats based on demand are among the many ways airlines price flights."" | ""Out of 3,817 route combinations, we only found 271 where there was a price discrepancy resulting in solo passengers paying more."" | ""One example is a flight on American Airlines from Austin-Bergstrom International Airport (AUS) to Charlotte Douglas International Airport (CLT), where it cost $473 for one ticket versus just $338 (each) for a ticket booked with another person."""
privacy-policy-support-american-airlines,"""Privacy policy""",American Airlines,privacy policy,company,https://www.aa.com/i18n/customer-service/support/privacy-policy.jsp,2026-03-12,2026-05-06,"personal information, personalize, tailored offers, targeted advertising, interest-based advertising, automated processing, fare classes, reward redemption rates, specific offers","""name, gender, date of birth, AAdvantage account number, passport number, nationality, country of residence, contact information, booking and itinerary information, payment information, health information, biometric information, business information, travel preferences, transaction history, partner transactions, browser type, IP address, operating system, geolocation, mobile advertising identifiers, pages visited, cookies, travel destinations searched, employer corporate account, ticket price, travel dates, destination""","American's privacy policy describes extensive collection, combination, use, and sharing of personal information across travel, loyalty, program, and interactive services. It states that technical and browsing information may be combined with identifiable information to personalize services and advertising, and that American may use information to tailor offers, personalize travel services, review fare classes and reward redemption rates, and make specific offers. The policy does not state that American uses personal data to set ticket prices, but it is relevant evidence of American's broader personalization, marketing, analytics, and automated-processing practices.","""Technical information may be combined with information that is personally identifiable in order to personalize our Interactive Services and advertising to your interests."" | ""American may combine information we receive from you via the Interactive Services with information collected from other sources. This information may be used to provide offers and / or services specifically tailored to your interests."" | ""To improve and personalize our Travel Services... including reviewing our travel destinations, fare classes, and operations more generally."" | ""To perform data analyses and other processing for marketing purposes... and to make specific offers to you."""
